name	unicode	hex	comment
Greek_MU	U039c	0x07cc	
Greek_NU	U039d	0x07cd	
Greek_XI	U039e	0x07ce	
Greek_OMICRON	U039f	0x07cf	
Greek_PI	U03a0	0x07d0	
Greek_RHO	U03a1	0x07d1	
Greek_SIGMA	U03a3	0x07d2	
Greek_TAU	U03a4	0x07d4	
Greek_UPSILON	U03a5	0x07d5	
Greek_PHI	U03a6	0x07d6	
Greek_CHI	U03a7	0x07d7	
Greek_PSI	U03a8	0x07d8	
Greek_OMEGA	U03a9	0x07d9	
Greek_alpha	U03b1	0x07e1	
Greek_beta	U03b2	0x07e2	
Greek_gamma	U03b3	0x07e3	
Greek_delta	U03b4	0x07e4	
Greek_epsilon	U03b5	0x07e5	
Greek_zeta	U03b6	0x07e6	
Greek_eta	U03b7	0x07e7	
Greek_theta	U03b8	0x07e8	
Greek_iota	U03b9	0x07e9	
Greek_kappa	U03ba	0x07ea	
Greek_lambda	U03bb	0x07eb	
Greek_mu	U03bc	0x07ec	
Greek_nu	U03bd	0x07ed	
Greek_xi	U03be	0x07ee	
Greek_omicron	U03bf	0x07ef	
Greek_pi	U03c0	0x07f0	
Greek_rho	U03c1	0x07f1	
Greek_sigma	U03c3	0x07f2	
Greek_finalsmallsigma	U03c2	0x07f3	
Greek_tau	U03c4	0x07f4	
Greek_upsilon	U03c5	0x07f5	
Greek_phi	U03c6	0x07f6	
Greek_chi	U03c7	0x07f7	
Greek_psi	U03c8	0x07f8	
Greek_omega	U03c9	0x07f9	
leftradical	U23b7	0x08a1	
topleftradical	U250c	0x08a2	
horizconnector	U2500	0x08a3	
topintegral	U2320	0x08a4	
botintegral	U2321	0x08a5	
vertconnector	U2502	0x08a6	
topleftsqbracket	U23a1	0x08a7	
botleftsqbracket	U23a3	0x08a8	
toprightsqbracket	U23a4	0x08a9	
botrightsqbracket	U23a6	0x08aa	
topleftparens	U239b	0x08ab	
botleftparens	U239d	0x08ac	
toprightparens	U239e	0x08ad	
botrightparens	U23a0	0x08ae	
leftmiddlecurlybrace	U23a8	0x08af	
rightmiddlecurlybrace	U23ac	0x08b0	
topleftsummation	U0000	0x08b1	
botleftsummation	U0000	0x08b2	
topvertsummationconnector	U0000	0x08b3	
botvertsummationconnector	U0000	0x08b4	
toprightsummation	U0000	0x08b5	
botrightsummation	U0000	0x08b6	
rightmiddlesummation	U0000	0x08b7	
lessthanequal	U2264	0x08bc	
notequal	U2260	0x08bd	
greaterthanequal	U2265	0x08be	
integral	U222b	0x08bf	
therefore	U2234	0x08c0	
variation	U221d	0x08c1	
infinity	U221e	0x08c2	
nabla	U2207	0x08c5	
approximate	U223c	0x08c8	
similarequal	U2243	0x08c9	
ifonlyif	U21d4	0x08cd	
implies	U21d2	0x08ce	
identical	U2261	0x08cf	
radical	U221a	0x08d6	
includedin	U2282	0x08da	
includes	U2283	0x08db	
intersection	U2229	0x08dc	
union	U222a	0x08dd	
logicaland	U2227	0x08de	
logicalor	U2228	0x08df	
partialderivative	U2202	0x08ef	
function	U0192	0x08f6	
leftarrow	U2190	0x08fb	
uparrow	U2191	0x08fc	
rightarrow	U2192	0x08fd	
downarrow	U2193	0x08fe	
blank	U0000	0x09df	
soliddiamond	U25c6	0x09e0	
checkerboard	U2592	0x09e1	
ht	U2409	0x09e2	
ff	U240c	0x09e3	
cr	U240d	0x09e4	
lf	U240a	0x09e5	
nl	U2424	0x09e8	
vt	U240b	0x09e9	
lowrightcorner	U2518	0x09ea	
uprightcorner	U2510	0x09eb	
upleftcorner	U250c	0x09ec	
lowleftcorner	U2514	0x09ed	
crossinglines	U253c	0x09ee	
horizlinescan1	U23ba	0x09ef	
horizlinescan3	U23bb	0x09f0	
horizlinescan5	U2500	0x09f1	
horizlinescan7	U23bc	0x09f2	
horizlinescan9	U23bd	0x09f3	
leftt	U251c	0x09f4	
rightt	U2524	0x09f5	
bott	U2534	0x09f6	
topt	U252c	0x09f7	
vertbar	U2502	0x09f8	
emspace	U2003	0x0aa1	
enspace	U2002	0x0aa2	
em3space	U2004	0x0aa3	
em4space	U2005	0x0aa4	
digitspace	U2007	0x0aa5	
punctspace	U2008	0x0aa6	
thinspace	U2009	0x0aa7	
hairspace	U200a	0x0aa8	
