name	unicode	hex	comment
Farsi_yeh	U06cc	0x05fc	
Arabic_yeh_baree	U06d2	0x05fd	
Arabic_heh_goal	U06c1	0x05fe	
Cyrillic_GHE_bar	U0492	0x0680	
Cyrillic_ZHE_descender	U0496	0x0681	
Cyrillic_KA_descender	U049a	0x0682	
Cyrillic_KA_vertstroke	U049c	0x0683	
Cyrillic_EN_descender	U04a2	0x0684	
Cyrillic_U_straight	U04ae	0x0685	
Cyrillic_U_straight_bar	U04b0	0x0686	
Cyrillic_HA_descender	U04b2	0x0687	
Cyrillic_CHE_descender	U04b6	0x0688	
Cyrillic_CHE_vertstroke	U04b8	0x0689	
Cyrillic_SHHA	U04ba	0x068a	
Cyrillic_SCHWA	U04d8	0x068c	
Cyrillic_I_macron	U04e2	0x068d	
Cyrillic_O_bar	U04e8	0x068e	
Cyrillic_U_macron	U04ee	0x068f	
Cyrillic_ghe_bar	U0493	0x0690	
Cyrillic_zhe_descender	U0497	0x0691	
Cyrillic_ka_descender	U049b	0x0692	
Cyrillic_ka_vertstroke	U049d	0x0693	
Cyrillic_en_descender	U04a3	0x0694	
Cyrillic_u_straight	U04af	0x0695	
Cyrillic_u_straight_bar	U04b1	0x0696	
Cyrillic_ha_descender	U04b3	0x0697	
Cyrillic_che_descender	U04b7	0x0698	
Cyrillic_che_vertstroke	U04b9	0x0699	
Cyrillic_shha	U04bb	0x069a	
Cyrillic_schwa	U04d9	0x069c	
Cyrillic_i_macron	U04e3	0x069d	
Cyrillic_o_bar	U04e9	0x069e	
Cyrillic_u_macron	U04ef	0x069f	
Ccedillaabovedot	U0000	0x16a2	
Xabovedot	U1e8a	0x16a3	
Qabovedot	U0000	0x16a5	
Ibreve	U012c	0x16a6	
IE	U0000	0x16a7	
UO	U0000	0x16a8	
Zstroke	U01b5	0x16a9	
Gcaron	U01e6	0x16aa	
Obarred	U019f	0x16af	
ccedillaabovedot	U0000	0x16b2	
xabovedot	U1e8b	0x16b3	
Ocaron	U0000	0x16b4	
qabovedot	U0000	0x16b5	
ibreve	U012d	0x16b6	
ie	U0000	0x16b7	
uo	U0000	0x16b8	
zstroke	U01b6	0x16b9	
gcaron	U01e7	0x16ba	
ocaron	U01d2	0x16bd	
obarred	U0275	0x16bf	
SCHWA	U018f	0x16c6	
schwa	U0259	0x16f6	
Lbelowdot	U1e36	0x16d1	
Lstrokebelowdot	U0000	0x16d2	
Gtilde	U0000	0x16d3	
lbelowdot	U1e37	0x16e1	
lstrokebelowdot	U0000	0x16e2	
gtilde	U0000	0x16e3	
Abelowdot	U1ea0	0x1ea0	
abelowdot	U1ea1	0x1ea1	
Ahook	U1ea2	0x1ea2	
ahook	U1ea3	0x1ea3	
Acircumflexacute	U1ea4	0x1ea4	
acircumflexacute	U1ea5	0x1ea5	
Acircumflexgrave	U1ea6	0x1ea6	
acircumflexgrave	U1ea7	0x1ea7	
Acircumflexhook	U1ea8	0x1ea8	
acircumflexhook	U1ea9	0x1ea9	
Acircumflextilde	U1eaa	0x1eaa	
acircumflextilde	U1eab	0x1eab	
Acircumflexbelowdot	U1eac	0x1eac	
acircumflexbelowdot	U1ead	0x1ead	
Abreveacute	U1eae	0x1eae	
abreveacute	U1eaf	0x1eaf	
Abrevegrave	U1eb0	0x1eb0	
abrevegrave	U1eb1	0x1eb1	
Abrevehook	U1eb2	0x1eb2	
abrevehook	U1eb3	0x1eb3	
Abrevetilde	U1eb4	0x1eb4	
abrevetilde	U1eb5	0x1eb5	
Abrevebelowdot	U1eb6	0x1eb6	
abrevebelowdot	U1eb7	0x1eb7	
Ebelowdot	U1eb8	0x1eb8	
ebelowdot	U1eb9	0x1eb9	
Ehook	U1eba	0x1eba	
ehook	U1ebb	0x1ebb	
Etilde	U1ebc	0x1ebc	
etilde	U1ebd	0x1ebd	
Ecircumflexacute	U1ebe	0x1ebe	
ecircumflexacute	U1ebf	0x1ebf	
Ecircumflexgrave	U1ec0	0x1ec0	
ecircumflexgrave	U1ec1	0x1ec1	
Ecircumflexhook	U1ec2	0x1ec2	
ecircumflexhook	U1ec3	0x1ec3	
Ecircumflextilde	U1ec4	0x1ec4	
ecircumflextilde	U1ec5	0x1ec5	
Ecircumflexbelowdot	U1ec6	0x1ec6	
ecircumflexbelowdot	U1ec7	0x1ec7	
Ihook	U1ec8	0x1ec8	
ihook	U1ec9	0x1ec9	
Ibelowdot	U1eca	0x1eca	
ibelowdot	U1ecb	0x1ecb	
Obelowdot	U1ecc	0x1ecc	
obelowdot	U1ecd	0x1ecd	
Ohook	U1ece	0x1ece	
ohook	U1ecf	0x1ecf	
Ocircumflexacute	U1ed0	0x1ed0	
ocircumflexacute	U1ed1	0x1ed1	
Ocircumflexgrave	U1ed2	0x1ed2	
ocircumflexgrave	U1ed3	0x1ed3	
Ocircumflexhook	U1ed4	0x1ed4	
ocircumflexhook	U1ed5	0x1ed5	
Ocircumflextilde	U1ed6	0x1ed6	
ocircumflextilde	U1ed7	0x1ed7	
Ocircumflexbelowdot	U1ed8	0x1ed8	
ocircumflexbelowdot	U1ed9	0x1ed9	
Ohornacute	U1eda	0x1eda	
ohornacute	U1edb	0x1edb	
Ohorngrave	U1edc	0x1edc	
ohorngrave	U1edd	0x1edd	
Ohornhook	U1ede	0x1ede	
ohornhook	U1edf	0x1edf	
Ohorntilde	U1ee0	0x1ee0	
ohorntilde	U1ee1	0x1ee1	
Ohornbelowdot	U1ee2	0x1ee2	
ohornbelowdot	U1ee3	0x1ee3	
Ubelowdot	U1ee4	0x1ee4	
ubelowdot	U1ee5	0x1ee5	
Uhook	U1ee6	0x1ee6	
uhook	U1ee7	0x1ee7	
Uhornacute	U1ee8	0x1ee8	
uhornacute	U1ee9	0x1ee9	
Uhorngrave	U1eea	0x1eea	
uhorngrave	U1eeb	0x1eeb	
Uhornhook	U1eec	0x1eec	
uhornhook	U1eed	0x1eed	
Uhorntilde	U1eee	0x1eee	
uhorntilde	U1eef	0x1eef	
Uhornbelowdot	U1ef0	0x1ef0	
uhornbelowdot	U1ef1	0x1ef1	
Ybelowdot	U1ef4	0x1ef4	
ybelowdot	U1ef5	0x1ef5	
Yhook	U1ef6	0x1ef6	
yhook	U1ef7	0x1ef7	
Ytilde	U1ef8	0x1ef8	
ytilde	U1ef9	0x1ef9	
Ohorn	U01a0	0x1efa	
ohorn	U01a1	0x1efb	
Uhorn	U01af	0x1efc	
uhorn	U01b0	0x1efd	
combining_tilde	U0303	0x1e9f	
combining_grave	U0300	0x1ef2	
combining_acute	U0301	0x1ef3	
combining_hook	U0309	0x1efe	
combining_belowdot	U0323	0x1eff	
dead_belowdot	U0323	0xfe60	
dead_hook	U0309	0xfe61	
dead_horn	U031b	0xfe62	
